date_m,Germany,France,Italy,Spain,Euro Area
2010-01-31,2.4,2.0,0.2,-1.46,2.2
2010-02-28,5.3,2.78,3.2,-1.14,4.0
2010-03-31,8.6,6.78,8.0,3.59,7.7
2010-04-30,13.2,6.4,8.6,3.15,8.8
2010-05-31,12.3,5.95,7.4,3.34,8.4
2010-06-30,10.1,4.2,10.8,2.47,8.4
2010-07-31,11.2,5.35,8.4,0.37,7.9
2010-08-31,11.3,2.45,15.0,-0.91,8.6
2010-09-30,8.2,3.28,6.0,-1.3,6.1
2010-10-31,12.4,3.77,4.2,-0.46,6.9
2010-11-30,11.8,4.13,4.9,2.26,8.0
2010-12-31,15.3,5.81,8.1,0.45,9.2
2011-01-31,11.4,5.9,1.6,1.72,5.9
2011-02-28,14.3,6.97,5.5,2.06,7.9
2011-03-31,11.3,3.58,5.5,-0.83,6.3
2011-04-30,8.6,2.24,5.5,-1.68,5.4
2011-05-31,6.6,4.75,3.5,-2.05,4.1
2011-06-30,6.1,2.34,0.0,-1.71,2.5
2011-07-31,9.3,2.68,0.0,-0.41,3.9
2011-08-31,7.2,3.03,7.0,0.36,5.5
2011-09-30,4.3,0.96,-1.7,-1.65,1.8
2011-10-31,3.7,1.35,-3.7,-3.64,0.4
2011-11-30,3.8,2.05,-3.4,-6.33,-0.2
2011-12-31,1.8,-1.28,-2.5,-2.99,-1.5
2012-01-31,1.5,-2.76,-4.8,-4.88,-1.7
2012-02-29,0.1,-2.14,-7.0,-6.38,-1.8
2012-03-31,2.0,-2.16,-7.0,-7.11,-2.0
2012-04-30,-0.3,-0.05,-9.2,-7.41,-2.6
2012-05-31,0.4,-4.51,-5.7,-6.22,-2.4
2012-06-30,0.9,-2.72,-7.0,-6.47,-2.0
2012-07-31,-0.8,-2.95,-5.5,-7.34,-2.6
2012-08-31,-0.3,-0.17,-4.7,-5.48,-1.2
2012-09-30,0.1,-1.55,-4.6,-7.1,-2.7
2012-10-31,-2.5,-3.16,-5.4,-5.4,-3.3
2012-11-30,-2.8,-5.2,-7.4,-7.09,-4.0
2012-12-31,-1.8,-2.31,-7.1,-7.72,-2.9
2013-01-31,-2.6,-2.16,-3.1,-5.55,-2.2
2013-02-28,-1.4,-2.17,-4.5,-4.87,-2.9
2013-03-31,-2.3,-0.69,-5.5,-2.6,-1.7
2013-04-30,0.3,0.43,-4.7,-2.81,-0.6
2013-05-31,-2.2,1.43,-4.3,-2.71,-1.7
2013-06-30,0.5,1.12,-2.2,-1.91,-0.5
2013-07-31,-1.4,-0.38,-3.7,-1.18,-1.9
2013-08-31,0.4,-3.22,-4.8,-2.21,-1.7
2013-09-30,0.8,-0.36,-3.0,0.54,-0.2
2013-10-31,1.4,0.93,-0.5,-0.62,0.2
2013-11-30,3.9,2.83,0.6,2.57,2.7
2013-12-31,4.0,0.62,-1.1,2.41,1.5
2014-01-31,4.8,-0.74,1.0,1.52,2.0
2014-02-28,4.6,-0.28,0.4,2.62,2.1
2014-03-31,2.9,-0.99,-0.2,1.22,0.6
2014-04-30,1.8,-2.29,1.6,3.3,2.2
2014-05-31,1.5,-3.81,-2.0,2.31,0.9
2014-06-30,0.3,-0.75,0.3,0.88,0.2
2014-07-31,2.9,0.96,-1.1,0.74,2.1
2014-08-31,-1.9,-0.01,-0.5,0.36,0.0
2014-09-30,0.4,0.09,-2.3,0.95,0.7
2014-10-31,1.2,-1.4,-2.7,1.23,1.0
2014-11-30,-0.4,-3.88,-1.9,0.01,-0.5
2014-12-31,0.9,0.23,0.2,-0.04,1.2
2015-01-31,-2.3,1.54,-1.8,0.32,1.0
2015-02-28,-1.2,0.67,-0.4,1.03,2.0
2015-03-31,0.5,1.13,1.1,2.42,2.8
2015-04-30,1.2,0.15,0.2,2.34,1.0
2015-05-31,2.8,3.24,2.5,3.93,2.4
2015-06-30,2.1,1.13,-0.3,4.61,3.1
2015-07-31,1.8,-1.0,2.3,5.65,2.8
2015-08-31,3.4,1.84,2.4,2.89,3.5
2015-09-30,1.1,2.02,1.6,4.02,3.1
2015-10-31,0.8,3.77,2.2,3.87,4.0
2015-11-30,0.2,2.68,2.9,4.25,2.9
2015-12-31,0.7,0.01,0.2,3.83,2.1
2016-01-31,2.9,2.02,3.7,5.13,6.1
2016-02-29,2.8,0.78,1.3,3.45,0.8
2016-03-31,1.4,0.05,1.2,3.52,0.1
2016-04-30,1.1,1.85,2.3,2.76,2.2
